dwc:taxonID	dwc:occurrenceStatus	dwc:locationID	dwc:locality	dwc:countryCode	dcterms:source
f5daeb42-2a87-4ea6-bc8c-98c25940ae3c	native		West Palearctic region		
1a04a2a9-8a1c-4bb1-81a8-aee886700373	native		Neotropical region		
02b39bfc-558b-42a6-8d64-9d3a0c4531c8	native		West Palearctic region		
fae22f8f-ad52-452c-9a25-3c3256e3aa99	native		Neotropical region		
1d0a9d69-563d-45c9-815d-1e4615999a80	native		West Palearctic region, East Palearctic region		
c3284eab-af66-47bb-b9bc-d6f71b69f047	native		Afrotropical region		
a25c67ba-aaee-4d28-ab9b-387f5921035e	native		Nearctic region		
f90e3a9a-1e6d-49b2-bd22-fb74a4714bfe	native		West Palearctic region		
6f567e1c-ca03-4332-8306-612a0198e3a4	native		Afrotropical region		
3a5a2c41-554f-4ff0-8520-35afd2c25f9e	native		Oriental region		
971e26f3-cc15-4543-9fdc-f251d9fa91bf	native		Nearctic region		
dff041a6-35fe-4cfa-b3c8-e240fd08d466	native		Australian and Pacific regions		
37889e3e-9bfb-4ffb-bf08-26ed4a81bb21	native		West Palearctic region (fossil)		
17afb596-f1ca-47d6-a721-32e5b5a01377	native		West Palearctic region, East Palearctic region, Nearctic region		
922d6a9e-3221-4ee6-ac6d-9c7767e73b87	native		East Palearctic region		
81ee1f5d-edc3-4c7e-8158-41ab6e8725ef	native		Neotropical region		
9d9c5821-b800-47a6-8967-bdc0af121069	native		Afrotropical region		
be48ea87-85e8-4437-aaa7-4c24e8cfb374	native		Australian and Pacific regions		
54645a62-45ac-4741-8c5d-b5e3670c962e	native		Neotropical region		
e3649b31-d17f-4d60-b232-6dd7cc83c5d0	native		West Palearctic region		
3217884f-40ef-40bf-af23-b2f74622bcbe	native		East Palearctic region		
0e2116b3-b632-4817-85cd-fee889ec3b26	native		East Palearctic region		
1100957d-38f1-43a0-9273-993b5482d500	native		Nearctic region		
5fd01d75-5552-4b50-87fe-71b80483138e	native		Australian and Pacific regions		
41c1306c-3f1c-4675-b2d5-1df0a27961fd	native		West Palearctic region		
