Item type	ID	dwc:namePublishedIn	reference_author	editors	title	publication_name	actual_pub_date	pages	publisher	pub_place	Language
Journal Article	74d3b556f83635bf11d572efa875e547	Bartsch, D., & Weitzel, M. (2022). A new species of Afromelittia Gorbunov & Arita, 1997 (Lepidoptera: Sesiidae: Melittiini) from The Gambia. Integrative Systematics, 5, 49–52.	Bartsch, D. and M. Weitzel		A new species of Afromelittia Gorbunov & Arita, 1997 (Lepidoptera: Sesiidae: Melittiini) from The Gambia	Integrative Systematics, 5	01/01/2022	49–52			en
Journal Article	34cc88289412068cd6114624a936d711	Bartsch, D., Pühringer, F., Milla, L., Lingenhöle, A., & Kallies, A. (2021). A molecular phylogeny and revision of the genus Pyropteron Newman, 1832 (Lepidoptera, Sesiidae) reveals unexpected diversity and frequent hostplant switch as a driver of speciation. – Zootaxa 4972(1), 1-75.	Bartsch, D., F. Pühringer, L. Milla, A. LingenhöLe, and A. Kallies,		A molecular phylogeny and revision of the genus Pyropteron Newman, 1832 (Lepidoptera, Sesiidae) reveals unexpected diversity and frequent hostplant switch as a driver of speciation	Zootaxa, 4972(1)	01/01/2021	1–75			en
Journal Article	666401b289fb66b6a8613ff0fa35107b	Behrens, J. (1889). In French, G. H.: Some Texas, Arizona and California Moths. The Canadian Entomologist, 21, 161–163. (163).	Behrens, J.	French, G.H.	Some Texas, Arizona and California Moths	The Canadian Entomologist, 21	01/01/1889	161–163			en
Journal Article	eaa273e9027b7b292f027d29ba839f00	Bellier de la Chavignerie de la Chavignerie, J. B. E. (1860). Observations sur la faune entomologique de la Sicile. Annales De La Société Entomologique De France (Troisième Série), 8, 667–713, pl. 12. (681–684).	de la Chavigneri, J.B.E.		Observations sur la faune entomologique de la Sicile	Annales De La Société Entomologique De France (Troisième Série), 8	01/01/1860	681-684			fr
Miscellaneous	b4842574c6325eff24a02a418252a825	Bertaccini, E., & Fiumi, G. (2002). Bombici e Sfingi d’Italia (Lepidoptera Sesioidea) 4, 181 pp, 8 pls. (32-181, pls 1-8).	Bertaccini, E. and G. Fiumi			Bombici e Sfingi d’Italia (Lepidoptera Sesioidea) 4	01/01/2002	32–181			sm
Journal Article	821b016d82a3eac1e2c046ae5685c5d2	Bettag, & E. (1997). Bembecia joesti sp. n., ein neuer Glasflügler aus Marokko (Lepidoptera: Sesiidae). Nachrichten Des Entomologischen Vereins Apollo, N.F., 18, 23–27.	Bettag, E.		Bembecia joesti sp. n., ein neuer Glasflügler aus Marokko (Lepidoptera: Sesiidae)	Nachrichten Des Entomologischen Vereins Apollo, N. F, 18	01/01/1997	23–27			de
Journal Article	c69e3fef39aa110bc1d2c246651d330a	Bettag, E., & Bläsius, R. (1998). Eine neue Glasflüglerart aus Marokko (Lepidoptera: Sesiidae). Phegea, 26, 71–75.	Bettag, E. and R. Bläsius		Eine neue Glasflüglerart aus Marokko (Lepidoptera: Sesiidae)	Phegea, 26	01/01/1998	71–75			et
Journal Article	9afecf4e502f3b721368d9ccbc5c9b48	Bettag, E., & Bläsius, R. (2002). Eine neue Synanthedon-Art aus Südspanien. Une nouvelle espèce de Synanthedon du sud de l’Espagne (Lepidoptera, Sesiidae). Revue De l’Association Roussillonnaise d’Entomologie, 11, 4–16.	Bettag, E. and R. Bläsius		Eine neue Synanthedon-Art aus Südspanien. Une nouvelle espèce de Synanthedon du sud de l’Espagne (Lepidoptera, Sesiidae)	Revue De l’Association Roussillonnaise d’Entomologie, 11	01/01/2002	4–16			fr
Journal Article	ac1eac198fe9e5a1396c6362f979a3f7	Beutenmüller, W. (1893). Notes on some North American Moths, with Descriptions of new Species. Bulletin of the American Museum of Natural History, 5, 19–26. (22–26).	Beutenmüller, W.		Notes on some North American Moths, with Descriptions of new Species	Bulletin of the American Museum of Natural History, 5	01/01/1893	19–26			en
Journal Article	6668ca89af1e6b8720cafb80cea07d18	Beutenmüller, W. (1894). On North American Moths, with the Description of a new Species of Triprocris. Bulletin of the American Museum of Natural History, 6, 365–368.	Beutenmüller, W.		On North American Moths, with the Description of a new Species of Triprocris	Bulletin of the American Museum of Natural History, 6	01/01/1894	365–368			en
Journal Article	53f08252247872d25399fad70c0b31a9	Beutenmüller, W. (1894). Studies of some Species of North American Aegeriidae. Bulletin of the American Museum of Natural History, 6, 87–98.	Beutenmüller, W.		Studies of some Species of North American Aegeriidae	Bulletin of the American Museum of Natural History, 6	01/01/1894	87–98			en
Journal Article	9320aa1b5de70b239f63f6abe7cedfb3	Beutenmüller, W. (1896). Critical Review of the Sesiidae Found in America, North of Mexico. Bulletin of the American Museum of Natural History, 8, 111–148.	Beutenmüller, W.		Critical Review of the Sesiidae Found in America, North of Mexico	Bulletin of the American Museum of Natural History, 8	01/01/1896	111–148			en
Journal Article	ba93f189fd91476afe6f022fd96eb0a3	Beutenmüller, W. (1897). Notes on North American Sesiidae, with Descriptions of new Species. Bulletin of the American Museum of Natural History, 9, 213–216.	Beutenmüller, W.		Notes on North American Sesiidae, with Descriptions of new Species	Bulletin of the American Museum of Natural History, 9	01/01/1897	213–216			en
Journal Article	b5c53377fc5b6b633fcdfc1d0265cc30	Beutenmüller, W. (1898). Three new Species of Sesiidae. Journal of the New York Entomological Society, 6, 240–241.	Beutenmüller, W.		Three new Species of Sesiidae	Journal of the New York Entomological Society, 6	01/01/1898	240–241			en
Journal Article	2b7ce77dd9cd2a7f9449c5a885d8fa35	Beutenmüller, W. (1899). Descriptions of and Notes on some North American Lepidoptera. Journal of the New York Entomological Society, 7, 254–256.	Beutenmüller, W.		Descriptions of and Notes on some North American Lepidoptera	Journal of the New York Entomological Society, 7	01/01/1899	254–256			en
Journal Article	2bb8518849a847a21771320b78e06c34	Beutenmüller, W. (1899). New African Sesiidae. Journal of the New York Entomological Society, 7, 170–172.	Beutenmüller, W.		New African Sesiidae	Journal of the New York Entomological Society, 7	01/01/1899	170–172			en
Journal Article	f6241b2e44ff304241db0f0409b005c4	Beutenmüller, W. (1900). A new Sesia from Alaska. The Canadian Entomologist, 32, 208.	Beutenmüller, W.		A new Sesia from Alaska	The Canadian Entomologist, 32	01/01/1900	208			en
Journal Article	883725a7ec09d893d9f31f07e8ffbd35	Beutenmüller, W. (1900). On Some Species of North American Lepidoptera. Bulletin of the American Museum of Natural History, 12(1899), 157–160.	Beutenmüller, W.		On Some Species of North American Lepidoptera	Bulletin of the American Museum of Natural History, 12(1899)	01/01/1900	157–160			en
Journal Article	d4b0b5c9c2b8406132779de8d36f61b8	Beutenmüller, W. (1900). Synopsis of the Species of Melittia of America, North of Mexico, with Description of a New Species. Bulletin of the American Museum of Natural History, 12(1899), 149–151.	Beutenmüller, W.		Synopsis of the Species of Melittia of America, North of Mexico, with Description of a New Species	Bulletin of the American Museum of Natural History, 12(1899)	01/01/1900	149–151			en
Journal Article	5ac324a839976b38f7ddc8ff974e1773	Beutenmüller, W. (1900). Two new Sesiidae. Journal of the New York Entomological Society, 8, 254.	Beutenmüller, W.		Two new Sesiidae	Journal of the New York Entomological Society, 8	01/01/1900	254			en
Journal Article	281864c880b9c6880ea0f1e59d5c77cd	Beutenmüller, W. (1902). Description of a new Sesia. Journal of the New York Entomological Society, 10, 126.	Beutenmüller, W.		Description of a new Sesia	Journal of the New York Entomological Society, 10	01/01/1902	126			en
Journal Article	36f64acc837bbb1159077b5a33520c87	Beutenmüller, W. (1909). Descriptions of three new Sesiidae. Entomological News, 20, 82–84.	Beutenmüller, W.		Descriptions of three new Sesiidae	Entomological News, 20	01/01/1909	82–84			pt
Journal Article	ce02781efc2c10391c7f2f3e4c045053	Beutenmüller, W. (1916). Description of a new Sesiid. The Canadian Entomologist, 48, 372.	Beutenmüller, W.		Description of a new Sesiid	The Canadian Entomologist, 48	01/01/1916	372			en
Journal Article	9ee3d0ecd1122fedf127aa3555061d26	Boisduval, J. A. (1828). Europaeorum Lepidopterorum Index Methodicus 1, 103 pp. – Paris. (29-31).	Boisduval, J.A.			Europaeorum Lepidopterorum Index Methodicus, 1	01/01/1828	29–31		Paris	la
Miscellaneous	197ab458802ca64ea7849f65dfedb736	Boisduval, J. A. (1829). Dixième Ordre: Lépidoptères. In Guérin-Ménéville, F. E.: Iconographie du Règne Animal de G. Cuvier, ou Représentation d’apres nature de l’une des espèces les plus remarquables, et souvent non encore figurées, de chaque genre d’animaux, vol. 2 and 3, 576 pp, 104 pls. – Paris. (pl. 84, [1832]; p. 496 [1844]).	Boisduval, J.A.	Guérin-Ménéville, F.	Dixième Ordre: Lépidoptères	Iconographie du Règne Animal de G. Cuvier, ou Représentation d’apres nature de l’une des espèces les plus remarquables, et souvent non encore figurées, de chaque genre d’animaux, vol. 2 and 3	01/01/1829	496		Paris	fr
Journal Article	b2d023458c9150df2d51a532faf5e617	Boisduval, J. A. (1836). Histoire Naturelle des Insectes. Spécies général des Lépidoptères 1, xii+690 pp, 24 pls. – Paris. (pl. xiv).	Boisduval, J.A.		Histoire Naturelle des Insectes	Spécies général des Lépidoptères, 1	01/01/1836	690		Paris	fr
Journal Article	09c294d46897bc9a3aa41e4891e00367	Boisduval, J. A. (1840). Genera et Index Methodicus Europaeorum Lepidopterorum (Pars I sistens Papiliones, Sphinges, Bombyces, Noctuas), 238 pp. – Paris. (41-44).	Boisduval, J.A.			Genera et Index Methodicus Europaeorum Lepidopterorum (Pars I sistens Papiliones, Sphinges, Bombyces, Noctuas)	01/01/1840	41–44		Paris	la
Miscellaneous	38b29cdc6d6dc62b91b6ea5324eff58c	Boisduval, J. A. (1875). Sphingides, Sésiides, Castnides. – Histoire Naturelle des Insectes. Spécies géneral des Lépidoptères Héterocères (Boisduval & Guenée) 1(4), iv+568 pp, 11 pls. (20, 381-479, pl. 9).	Boisduval, J.A.	Boisduval, J.A. and A.A. Guenée	Sphingides, Sésiides, Castnides	Histoire Naturelle des Insectes. Spécies géneral des Lépidoptères Héterocères 1(4)	01/01/1875	20, 381-479			fr
Journal Article	8ace1aa73719a46049aaee87e8083a12	Boisduval, J. B. A. (1869). Lépidoptères de la Californie. – Annales de la Societe Entomologique de Belgique 12 (1868-1869), 1-94. (63-64).	Boisduval, J.B.		Lépidoptères de la Californie	Annales de la Societe Entomologique de Belgique, 12	01/01/1869	63-64			fr
Journal Article	9ee64c7ecd5ee86fd65c111dde2ed64e	Borkhausen, M. B. (1789). Der europäischen Schmetterlinge zweiter Theil. Abendschmetterlinge, Sphinxe, Schwärmer. Naturgeschichte Der Europäischen Schmetterlinge Nach Systematischer Ordnung, 2, 4+96+239 pp, 1 pl. (126–132, 168–175).	Borkhausen, M.B.		Der europäischen Schmetterlinge zweiter Theil. Abendschmetterlinge, Sphinxe, Schwärmer	Naturgeschichte Der Europäischen Schmetterlinge Nach Systematischer Ordnung, 2	01/01/1789	126–132, 168–175			de
Journal Article	2aa54f1c4414bbdde1dabf85da124d2a	Bradley, J. D. (1956). A new clearwing moth from West Africa predaceous on scale-insects (Lep.: Aegeriidae). The Entomologist, 89, 203–205.	Bradley, J.D.		A new clearwing moth from West Africa predaceous on scale-insects (Lep.: Aegeriidae)	The Entomologist, 89	01/01/1956	203–205			en
Journal Article	9b1750817c167a3b692108ec5dc58699	Bradley, J. D. (1957). A new species of Conopia from Malaya (Lep.: Aegeriidae). The Entomologist, 90, 67–69.	Bradley, J.D.		A new species of Conopia from Malaya (Lep.: Aegeriidae)	The Entomologist, 90	01/01/1957	67–69			en
Journal Article	c6172c2f996a95244e6fa29afaa590a2	Bradley, J. D. (1968). Two new species of clearwing moths (Lepidoptera, Sesiidae) associated with sweet potato (Ipomoea batatas) in East Africa. Bulletin of Entomological Research, 58, 47–53.	Bradley, J.D.		Two new species of clearwing moths (Lepidoptera, Sesiidae) associated with sweet potato (Ipomoea batatas) in East Africa	Bulletin of Entomological Research, 58	01/01/1968	47–53			en
Miscellaneous	19de00a88d92d343e8d0fd192bc847b5	Bremer, O. (1870). Lepidoptera Eversmanniana. - Horae Societatis Entomologicae Rossicae (Trudy Russkago entomologicheskago obshchestva) 4 (addenda), 2-23(5-6).	Bremer, O.		Lepidoptera Eversmanniana	Horae Societatis Entomologicae Rossicae (Trudy Russkago entomologicheskago obshchestva) 4 (addenda)	01/01/1870	5-6			cy
Journal Article	cb7de491f41f06ca4aa6bd7c5532fc32	Brethes, J. (1920). Insectos útiles y daninos de Rio Grande do Sul y de La Plata. Anales De La Sociedad Rural Argentina, 54, 281–290, 307–308. (284).	Brethes, J.		Insectos útiles y daninos de Rio Grande do Sul y de La Plata	Anales De La Sociedad Rural Argentina, 54	01/01/1920	284			es
Journal Article	5403f59c053b80c69606e2b89454e68a	Brown, L. N., Eichlin, T. D., & Snow, J. W. (1985). A new species of clearwing moth, Carmenta laurelae (Sesiidae), from Florida. Journal of the Lepidopterists’ Society, 39, 262–265.	Brown, L.N., T.D. Eichlin, and J.W. Snow		A new species of clearwing moth, Carmenta laurelae (Sesiidae), from Florida	Journal of the Lepidopterists’ Society, 39	01/01/1985	262–265			en
Journal Article	f7d579a3535cc4892a14faf23d63eee2	Bruch, C. (1941). Observaciones biologicas sobre “Melittia bergi” Edwards (Lepidoptera Aegeriidae). – Notas del Museo de La Plata 6(48), 157-163, pls i-ii.	Bruch, C.		Observaciones biologicas sobre “Melittia bergi” Edwards (Lepidoptera Aegeriidae)	Notas del Museo de La Plata, 6(48)	01/01/1941	157–163			ca
Journal Article	d1a3b86b2ae5f74ca3a4ec5977a87d11	Bryk, F. (1947). Neue ostasiatische Aegeriiden (Lep.). Opuscula Entomologica, 12, 96–109.	Bryk, F.		Neue ostasiatische Aegeriiden (Lep)	Opuscula Entomologica, 12	01/01/1947	96–109			eu
Journal Article	6d60ad9c9fcd828c26f9cc77f1bcc5fb	Bryk, F. (1953). Lepidoptera aus dem Amazonasgebiete und aus Peru gesammelt von Dr. Douglas Melin und Dr. Abraham Roman. Arkiv För Zoologi, 5, 1–268. (262–266).	Bryk, F.		Lepidoptera aus dem Amazonasgebiete und aus Peru gesammelt von Dr. Douglas Melin und Dr. Abraham Roman	Douglas Melin und Dr. Abraham Roman. Arkiv För Zoologi, 5	01/01/1953	1–268			de
Miscellaneous	2904e625caa03bd290cf697d3807835f	Burmeister, H. (1878). Lépidoptères. – Description Physique de la République Argentine, d’apres des observations personelles et étrangères 5(1), vi+526 pp, 24 pls. (359-362).	Burmeister, H.			Lépidoptères. – Description Physique de la République Argentine, d’apres des observations personelles et étrangères 5(1)	01/01/1878	359–362			fr
Journal Article	3ab2565860de7f028086f9700a4889bf	Busck, A. (1910). List of Trinidad Microlepidoptera, with Descriptions of New Forms. Bulletin of the Department of Agriculture, 9, 241–245. (242–243).	Busck, A.		List of Trinidad Microlepidoptera, with Descriptions of New Forms	Bulletin of the Department of Agriculture, 9	01/01/1910	241–245			en
Journal Article	b9781efc0250d06725770c8d18c15368	Busck, A. (1913). Two Microlepidoptera injurious to Chestnut. Proceedings of the Entomological Society of Washington, 15, 102–104.	Busck, A.		Two Microlepidoptera injurious to Chestnut	Proceedings of the Entomological Society of Washington, 15	01/01/1913	102–104			en
Journal Article	fff131dc790e951d26e05209e8a897d5	Busck, A. (1914). Descriptions of new Microlepidoptera of Forest Trees. – Proceedings of the Entomological Society of Washington 16(4), 143-150, pls vii-viii. (143-144).	Busck, A.		Descriptions of new Microlepidoptera of Forest Trees	Proceedings of the Entomological Society of Washington, 16(4)	01/01/1914	143–144			en
Journal Article	3c92eb2af3ae228b2f30cdd1945ef675	Busck, A. (1915). Descriptions of New North American Microlepidoptera. Proceedings of the Entomological Society of Washington, 17, 79–94. (80–81).	Busck, A.		Descriptions of New North American Microlepidoptera	Proceedings of the Entomological Society of Washington, 17	01/01/1915	80-81			en
Journal Article	8c4ed64e71fb92690ed238bb31e55d84	Busck, A. (1920). Descriptions of New Central American Microlepidoptera. Insecutor Inscitiae Menstruus, 8, 83–95. (83).	Busck, A.		Descriptions of New Central American Microlepidoptera	Insecutor Inscitiae Menstruus, 8	01/01/1920	83–95			en
Journal Article	257b39a856a9b0af538bceb2e0d54c97	Busck, A. (1929). A new Aegeriid on Cowpea from Brazil (Lepidoptera: Aegeriidae). Proceedings of the Entomological Society of Washington, 31, 134–137.	Busck, A.		A new Aegeriid on Cowpea from Brazil (Lepidoptera: Aegeriidae)	Proceedings of the Entomological Society of Washington, 31	01/01/1929	134–137			en
Journal Article	6be3f2a8e89813db121e02762c60e9ad	Butler, A. G. (1874). Notes on the Aegeriidae, with Descriptions of new Genera and Species. The Annals and Magazine of Natural History (Fourth Series), 14, 407–411.	Butler, A.G.		Notes on the Aegeriidae, with Descriptions of new Genera and Species	The Annals and Magazine of Natural History (Fourth Series), 14	01/01/1874	407–411			en
Conference Paper	5facf1eb239eb1cb24b64fa24e5776b1	Butler, A. G. (1876). Descriptions of Lepidoptera from the Collection of Lieut. Howland Roberts. – Proceedings of the Zoological Society of London, 308-310. (309, pl. xxii).	Butler, A.G.		Descriptions of Lepidoptera from the Collection of Lieut. Howland Roberts	Proceedings of the Zoological Society of London	01/01/1876	308–310			en
Miscellaneous	86a1f656282f560903bcb97e99277322	Butler, A. G. (1878). Illustrations of typical specimens of Lepidoptera Heterocera in the collection of the British Museum 2, 62 pp, pls 21-40 - London. (59-61, pl. 40).	Butler, A.G.			Illustrations of typical specimens of Lepidoptera Heterocera in the collection of the British Museum 2	01/01/1878	59-61		London	en
Journal Article	ecc70cdc296d3bf069e52b79b25cf447	Butler, A. G. (1881). Descriptions of new Genera and Species of Heterocerous Lepidoptera from Japan. The Transactions of the Entomological Society of London, 1–23, 171–200, 401–426, 579–600. (589).	Butler, A.G.		Descriptions of new Genera and Species of Heterocerous Lepidoptera from Japan	The Transactions of the Entomological Society of London, 1–23	01/01/1881	589			en
Journal Article	88278938d9e6ca0e8fd2c66ab5758f56	Butler, A. G. (1882). Descriptions of new Species of Lepidoptera, chiefly from Duke-of-York Island and New Britain. The Annals and Magazine of Natural History (Fifth Series), 10, 36–43, 149–160, 226–238. (237–238).	Butler, A.G.		Descriptions of new Species of Lepidoptera, chiefly from Duke-of-York Island and New Britain	The Annals and Magazine of Natural History (Fifth Series), 10	01/01/1882	36–43, 149–160, 226–238			en
