Item type	ID	dwc:namePublishedIn	reference_author	editors	title	publication_name	actual_pub_date	pages	publisher	pub_place	Language
Journal Article	7a22f61da951a9c049d73412c7843847	Wallengren, H. D. J. (1865). Heterocer-Fjärilar, samlade i Kafferlandet af J. A. Wahlberg. Kongliga Svenska Vetenskaps-Akademiens Handlingar, N.F., 5(1864), 1–83. (8–10).	Wallengren, H.D.J.		Heterocer-Fjärilar, samlade i Kafferlandet af J. A. Wahlberg	Kongliga Svenska Vetenskaps-Akademiens Handlingar, N.F., 5(1864)	01/01/1865	8-10			sv
Journal Article	3fefa761e576dfba9284896fb209a1b3	Walsh, B. D. (1867). On the Insects, Coleopterous, Hymenopterous and Dipterous, inhabiting the Galls of certain species of Willows. – Part 2d and last. – Proceedings of the Entomological Society of Philadelphia 6, 223-288. (270-271).	Walsh, B.D.		On the Insects, Coleopterous, Hymenopterous and Dipterous, inhabiting the Galls of certain species of Willows. – Part 2d and last	Proceedings of the Entomological Society of Philadelphia, 6	01/01/1867	223–288			en
Journal Article	ed34fe0fb8d11a8d2144f1ae2484948a	Wang, P. Y. (1984). A new species of Similipepsis and taxonomic placement of the genus (Sesiidae). Journal of the Lepidopterists’ Society, 38, 85–87.	Wang, P.Y.		A new species of Similipepsis and taxonomic placement of the genus (Sesiidae)	Journal of the Lepidopterists’ Society, 38	01/01/1984	85–87			en
Journal Article	656e718ee7d4b58f000c49718dfbdb49	Wang, Y., & Yang, J. (1992). A New Clearwing Moth from Mount Mogan (Lepidoptera: Sessidae [sic]). Journal of Zhejiang Forestry College, 9, 418–419.	Wang, Y. and J. Yang		A New Clearwing Moth from Mount Mogan (Lepidoptera: Sessidae [sic)]	Journal of Zhejiang Forestry College, 9	01/01/1992	418–419			en
Journal Article	d3431be53f972bbcfbcf7255cf2126da	Wang, Y., & Yang, J. (1994). A New Species of the Genus Bembecia (Lepidoptera: Sesiidae). Journal of Northwest Forestry College, 9, 31–33.	Wang, Y. and J. Yang		A New Species of the Genus Bembecia (Lepidoptera: Sesiidae)	Journal of Northwest Forestry College, 9	01/01/1994	31–33			en
Journal Article	620e21820e01f30bf41aeb49010322d9	Wang, Y., & Yang, J. (2002). Sesiidae. Fauna of Insects in Fujian Province of China, 5, 14–27.	Wang, Y. and J. Yang		Sesiidae	Fauna of Insects in Fujian Province of China, 5	01/01/2002	14–27			en
Book Chapter	adc515bc93ae3ccbfcbc72ed11a44f19	Westwood, J. O. (1841). In Humphreys, H. N. & Westwood, J. O.: British Moths and their Transformations 1. – London.	Westwood, J.O.	Humphreys, H.N. and J. Westwood		British Moths and their Transformations 1	01/01/1841			London	en
Journal Article	f76b973f3bbed5f086e672f76ceedba2	Westwood, J. O. (1843). In Humphreys, H. N. & Westwood, J. O.: British Moths and their Transformations 1 (ed. 2), 258 pp, 56 pls. – London. (32-43, pl. 7).	Westwood, J.O.	Humphreys, H.N. and J. Westwood		O. : British Moths and their Transformations, 1(ed. 2)	01/01/1843	32-43		London	en
Miscellaneous	3fb2251f6083274407ccfa2c9c38464d	Westwood, J. O. (1848). The Cabinet of Oriental Entomology; being A Selection of some of the rarer and more beautiful Species of Insects, Natives of India and the adjacent Islands, the greater portion of which are now for the first time described and figured, 88 pp, 42 pls. – London. (14, 61-62, pls 6, 30).	Westwood, J.O.			The Cabinet of Oriental Entomology; being A Selection of some of the rarer and more beautiful Species of Insects, Natives of India and the adjacent Islands, the greater portion of which are now for the first time described and figured	01/01/1848	14, 61-62		London	en
Journal Article	4f4c44269d37aac309c26690c32b42db	Westwood, J. O. (1854). The American Oak-gall Clear-winged Sphinx. The Gardener’s Chronicle and Agricultur[al] Gazette, 47, 757–758.	Westwood, J.O.		The American Oak-gall Clear-winged Sphinx	The Gardener’s Chronicle and Agricultur[al] Gazette, 47	01/01/1854	757–758			en
Journal Article	f469768dec7ec4a5857b4fc699861376	Wileman, A. E., & South, R. (1918). Two new species of Sesiidae from Formosa and a new Noctuid moth from Japan. The Entomologist, 51, 169–170.	Wileman, A.E. and R. South		Two new species of Sesiidae from Formosa and a new Noctuid moth from Japan	The Entomologist, 51	01/01/1918	169–170			en
Journal Article	eb59f99c07ad37f8adaf667acc9ab6a0	Wiltshire, E. P. (1986). Lepidoptera of Saudi Arabia: Fam. Cossidae, Sesiidae, Metarbelidae, Lasiocampidae, Sphingidae, Geometridae, Lymantriidae, Arctiidae, Nolidae, Noctuidae (Heterocera); Fam. Satyridae (Rhopalocera) (Part 5). Fauna of Saudi Arabia, 8, 262–323. (267, 320–321).	Wiltshire, E.P.		Lepidoptera of Saudi Arabia: Fam. Cossidae, Sesiidae, Metarbelidae, Lasiocampidae, Sphingidae, Geometridae, Lymantriidae, Arctiidae, Nolidae, Noctuidae (Heterocera); Fam. Satyridae (Rhopalocera) (Part 5)	Fauna of Saudi Arabia, 8	01/01/1986	267, 320–321			sw
Miscellaneous	15f45150967d60245197cc97f7187411	Xu, & Arita. (2014). see Xu, H.-M., Wu, G.-Y., Arita, Y. & Wang, M. (2014).	Xu, H.-M., G.-Y. Wu, Y.Arita, and M. Wang			unknown	01/01/2014				
Miscellaneous	e29a2af029a404d0c7f33dc550652d1b	Xu, & Arita. (2015). see Xu, H.-M., Arita, Y., Chen, B. & Wang, M. (2015).	Xu, H.-M., Y. Arita, B. Chen, and M. Wang			unknown	01/01/2015				
Journal Article	1e5e33ef64a8ecabf8902884a5f2964b	Xu, Z. (1997). In Xu, Z., Liu, X. & Jin, T.: A New Clearwing Borer on Sassafras Tree from Jiangxi and Hunan, China (Lep. Sesiidae). – Acta Agriculturae Boreali-occidentalis Sinica 6(4), 1-3. [in Chinese with English summary].	Xu, Z.	Xu, Z., X. Liu, and T. Jin	A New Clearwing Borer on Sassafras Tree from Jiangxi and Hunan, China (Lep. Sesiidae)	Acta Agriculturae Boreali-occidentalis Sinica 6(4)	01/01/1997	1–3			en
Journal Article	26a799b6d68256f86f74e1a902f3cc00	Xu, Z. G. (1993). Notes of a new species Cissuvora huoshanensis Xu (Lepidoptera, Sesiidae). – Acta Agriculturae Boreali-occidentalis Sinica 2(1), 7-9. [in Chinese with English summary].	Xu, Z.G.		Notes of a new species Cissuvora huoshanensis Xu (Lepidoptera, Sesiidae)	Acta Agriculturae Boreali-occidentalis Sinica, 2(1)	01/01/1993	7–9			en
Journal Article	797b96c3c0f1d3128d79d979780ebb66	Xu, Z. G. (1995). A new clearwing moth on Populus sp. (Lepidoptera: Sesiidae). Forest Research, 8, 6–9.	Xu, Z.G.		A new clearwing moth on Populus sp. (Lepidoptera: Sesiidae)	Forest Research, 8	01/01/1995	6–9			en
