Item type	ID	dwc	reference_author	Editors	title	publication_name	actual_pub_date	pages	publisher	pub_place	URLs	DOI	Language
Journal Article	290	Groschke F. Neues über Minierer aus dem Mittelmeergebiet. Mitteilungen der Münchner Entomologischen Gesellschaft 34: 115-124. (1944).	Groschke, F.		Neues über Minierer aus dem Mittelmeergebiet	Mitteilungen der Münchner Entomologischen Gesellschaft 34	01/01/1944	115–124					
Journal Article	291	Rociene A, Stonis JR. Nepticulidae (Lepidoptera) of East Asia (2). Study of a collection sample deposited at the Russian Academy of Sciences, with descriptions of new species and a checklist. Zootaxa 3652: 75-116. doi: http://dx.doi.org/10.11646/zootaxa.3652.1.3. (2013).	Rociene, A., and J. R. Stonis		Nepticulidae (Lepidoptera) of East Asia (2). Study of a collection sample deposited at the Russian Academy of Sciences, with descriptions of new species and a checklist	Zootaxa 3652	01/01/2013	75–116			http://dx.doi.org/10.11646/zootaxa.3652.1.3	10.11646/zootaxa.3652.1.3	en
Book Chapter	292	Herrich-Schäffer GAW. Vorläufiger Bericht über einen Ausflug ins Engadin. Correspondenz-Blatt des zoologisch-mineralogischen Vereines in Regensburg 17: 181-188. (1863).	Herrich-Schäffer, G. A. W.		Vorläufiger Bericht über einen Ausflug ins Engadin	Correspondenz-Blatt des zoologisch-mineralogischen Vereines in Regensburg 17	01/01/1863	181–188					
Journal Article	293	Gerasimov AM. Minierende Motten V. Neue Stigmella (Nepticula)- und Tischeria-Arten. (Lepid. Stigmell. und Tischer.). Mitteilungen aus dem Zoologischen Museum in Berlin 22: 282-285. (1937).	Gerasimov, A. M.		Minierende Motten V. Neue Stigmella (Nepticula)- und Tischeria-Arten. (Lepid. Stigmell. und Tischer.)	Mitteilungen aus dem Zoologischen Museum in Berlin 22	01/01/1937	282–285					
Journal Article	294	Walsingham L. Micro-Lepidoptera collected near Cannes, 1890. Entomologist's Monthly Magazine 27: 137-152. (1891).	Walsingham, L.		Micro-Lepidoptera collected near Cannes, 1890	Entomologist's Monthly Magazine 27	01/01/1891	137–152					
Journal Article	295	Emmet AM. Ectoedemia subapicella (Stainton, 1886) (Lep., Nepticulidae) a synonym of Ectoedemia albifasciella (Heinemann, 1871). Entomologist's Gazette 25: 274-276. (1974).	Emmet, A. M.		Ectoedemia subapicella (Stainton, 1886) (Lep., Nepticulidae) a synonym of Ectoedemia albifasciella (Heinemann, 1871)	Entomologist's Gazette 25	01/01/1974	274–276					
Book Chapter	296	Weber P. Die Schmetterlinge der Schweiz. 7. Nachtrag. Mikrolepidoptera. Mit Neubeschreibung von 5 Arten und 13 Formen. Mitteilungen der Schweizerischen Entomologischen Gesellschaft 19: 347-407. (1945).	Weber, P.		Die Schmetterlinge der Schweiz. 7. Nachtrag. Mikrolepidoptera. Mit Neubeschreibung von 5 Arten und 13 Formen	Mitteilungen der Schweizerischen Entomologischen Gesellschaft 19	01/01/1945	347–407					
Journal Article	297	Puplesis RK, Arutyunova NV. Dva novykh vida molej-malyutok (Lepidoptera, Nepticulidae), miniruyushchikh list'ya Yabloni, iz Tadzhikistana. (Two new species of nepticulid moths (Lepidoptera, Nepticulidae), mining apple-tree leaves from Tajikistan). Entomologicheskoe Obozrenie 70: 571-573. (1991).	Puplesis, R. K., and N.V. Arutyunova		Dva novykh vida molej-malyutok (Lepidoptera, Nepticulidae), miniruyushchikh list'ya Yabloni, iz Tadzhikistana. (Two new species of nepticulid moths (Lepidoptera, Nepticulidae), mining apple-tree leaves from Tajikistan)	Entomologicheskoe Obozrenie 70	01/01/1991	571–573					
Journal Article	298	Skala H. Miner in deutschen Landen. Zeitschrift des Österreichischen Entomologen-Vereins 24: 111-112. (1939).	Skala, H.		Miner in deutschen Landen	Zeitschrift des Österreichischen Entomologen-Vereins 24	01/01/1939	111–112					
Journal Article	299	Joannis J de. Étude synonymique des espèces de Microlépidoptères décrites comme nouvelles par Duponchel. Annales de la Société Entomologique de France 84: 62-164. (1915).	Joannis, J, de.		Étude synonymique des espèces de Microlépidoptères décrites comme nouvelles par Duponchel	Annales de la Société Entomologique de France 84	01/01/1915	62–164					
